Time: 20200528-073946, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 39.17% +- 0.71% 
Time: 20200528-075350, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 41.74% +- 0.73% 
Time: 20200528-075351, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 40.10% +- 0.63% 
Time: 20200528-075357, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 38.82% +- 0.69% 
Time: 20200528-075358, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 41.38% +- 0.70% 
Time: 20200528-075359, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 38.39% +- 0.65% 
Time: 20200528-075359, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 41.58% +- 0.71% 
Time: 20200528-075400, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 31.26% +- 0.57% 
Time: 20200528-075400, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 34.54% +- 0.60% 
Time: 20200528-081220, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 38.60% +- 0.66% 
Time: 20200528-081416, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 59.58% +- 0.65% 
Time: 20200528-081418, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 60.24% +- 0.68% 
Time: 20200528-081419, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 55.26% +- 0.70% 
Time: 20200528-081420, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 58.15% +- 0.73% 
Time: 20200528-081420, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 45.41% +- 0.65% 
Time: 20200528-081420, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 54.78% +- 0.67% 
Time: 20200528-081422, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 61.20% +- 0.66% 
Time: 20200528-081422, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 52.04% +- 0.69% 
Time: 20200528-090004, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 72.45% +- 0.56% 
Time: 20200528-090007, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 73.03% +- 0.61% 
Time: 20200528-090007, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 67.96% +- 0.64% 
Time: 20200528-090008, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 67.75% +- 0.60% 
Time: 20200528-090008, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 73.57% +- 0.56% 
Time: 20200528-090009, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 70.51% +- 0.63% 
Time: 20200528-090009, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 58.48% +- 0.65% 
Time: 20200528-090009, Setting: miniImagenet-novel-Conv4-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 65.71% +- 0.59% 
Time: 20200528-094313, Setting: miniImagenet-novel-Conv4-baseline-aug 1shot 5way_test, Acc: 600 Test Acc = 36.58% +- 0.69% 
Time: 20200528-094740, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 76.53% +- 0.52% 
Time: 20200528-094741, Setting: miniImagenet-novel-Conv4-baseline-aug 50shot 5way_test, Acc: 600 Test Acc = 77.90% +- 0.53% 
